5885,维权,wéi quán,
5886,无聊,wú liáo,
5887,悲,bēi,佛源
5888,凭借,píng jiè,
5889,集会,jí huì,
5890,清除,qīng chú,
5891,诸如,zhū rú,
5892,爱护,ài hù,佛源
5893,神话,shén huà,
5894,认同,rèn tóng,
5895,滥,làn,
5896,果断,guǒ duàn,佛源
5897,有事,yǒu shì,
5898,忍受,rěn shòu,佛源
5899,尸体,shī tǐ,
5900,先行,xiān xíng,
5901,起头,qǐ tóu,
5902,法子,fǎ zi,
5903,仰,yǎng,
5904,国庆,guó qìng,
5905,氧,yǎng,外来
5906,自然科学,zì rán kē xué,日源
5907,孔子,kǒng zǐ,
5908,香烟,xiāng yān,
5909,赤,chì,
5910,生前,shēng qián,
5911,尖锐,jiān ruì,
5912,神气,shén qì,
5913,竞选,jìng xuǎn,
5914,远程,yuǎn chéng,
5915,渝,yú,
5916,编写,biān xiě,
5917,多久,duō jiǔ,
5918,停牌,tíng pái,
5919,一世,yī shì,
5920,瞬间,shùn jiān,
5921,诱惑,yòu huò,
5922,古典,gǔ diǎn,
5923,咧,liě / liē / lié / lie,
5924,水电,shuǐ diàn,
5925,暂行,zàn xíng,
5926,造福,zào fú,
5927,吻,wěn,
5928,没事,méi shì,
5929,测绘,cè huì,
5930,难忘,nán wàng,
