# mcc-stats: {"columns":{"passes":{"1":300},"proofread":300,"total":1245,"unproofread":945},"rows":{"passes":{"1":13660},"proofread":13660,"ranges_by_pass":{"1":[[1,13660]]},"total":56998,"unproofread":43338,"unproofread_ranges":[[13661,56998]]}}
index,word
1,的
2,是
3,在
4,一
5,不
6,有
7,这
8,个
9,上
10,也
11,他
12,人
13,就
14,对
15,说
16,我
17,要
18,到
19,大
20,我们
21,多
22,把
23,来
24,等
25,年
26,两
27,从
28,而
29,能
30,又
31,他们
32,以
33,时
34,没有
35,会
36,之
37,但
38,三
39,被
40,很
41,下
42,自己
43,后
44,中国
45,并
46,使
47,向
48,已
49,出
50,用
51,新
52,所
53,里
54,给
55,她
56,更
57,次
58,最
59,于
60,可以
61,可
62,去
63,由
64,问题
65,小
66,工作
67,让
68,其
69,你
70,这个
71,生活
72,起
73,这样
74,天
75,它
76,高
77,做
78,家
79,已经
80,再
81,或
82,才
83,前
84,走
85,这些
86,一些
87,却
88,二
89,条
90,位
91,起来
92,各
93,成
94,什么
95,元
96,现在
97,社会
98,比
99,同
100,四
101,关系
102,名
103,想
104,如
105,第一
106,因为
107,该
108,开始
109,许多
110,内
111,时间
112,人们
113,今天
114,国家
115,本
116,点
117,思想
118,至
119,此
120,一定
121,如果
122,副
123,无
124,张
125,同时
126,需要
127,月
128,则
129,重要
130,为了
131,日
132,老
133,就是
134,作
135,五
136,人民
137,事
138,认为
139,成为
140,像
141,北京
142,历史
143,水
144,方面
145,情况
146,而且
147,党
148,学生
149,每
150,这里
151,但是
152,孩子
153,可能
154,发生
155,必须
156,只有
157,外
158,要求
159,全
160,发现
161,进行
162,特别
163,因
164,岁
165,得到
166,件
167,文化
168,分
169,便
170,同志
171,发展
172,即
173,日本
174,总
175,因此
176,对于
177,领导
178,带
179,既
180,时候
181,钱
182,自
183,政府
184,吃
185,非
186,决定
187,进
188,还是
189,受
190,国
191,应该
192,近
193,美
194,政治
195,话
196,公司
197,干部
198,出现
199,开
200,一切
201,研究
202,认识
203,写
204,十分
205,十
206,站
207,之间
208,问
209,希望
210,快
211,虽然
212,相
213,美国
214,知道
215,讲
216,大家
217,学校
218,组织
219,见
220,由于
221,正在
222,法
223,表示
224,一样
225,活动
226,如何
227,教育
228,书
229,据
230,城市
231,道
232,艺术
233,经济
234,以及
235,部
236,影响
237,太
238,其中
239,学
240,先生
241,完全
242,连
243,主要
244,继续
245,头
246,革命
247,之后
248,参加
249,能够
250,住
251,上海
252,经过
253,非常
254,低
255,甚至
256,听
257,先
258,一直
259,学习
260,仍
261,办
262,所以
263,代表
264,变
265,最后
266,一起
267,万
268,所有
269,那么
270,心
271,越
272,较
273,办法
274,路
275,有些
276,未
277,通过
278,找
279,按
280,拿
281,解决
282,一般
283,另
284,经
285,半
286,强
287,或者
288,时代
289,手
290,作品
291,不断
292,以后
293,关于
294,青年
295,各种
296,真
297,其他
298,农民
299,那些
300,余
301,段
302,有的
303,买
304,根本
305,县
306,作者
307,者
308,请
309,叫
310,感到
311,怎么
312,任何
313,六
314,表现
315,反
316,存在
317,然而
318,准备
319,送
320,约
321,比较
322,书记
323,爱
324,单位
325,群众
326,应当
327,王
328,早
329,女
330,门
331,个人
332,座
333,全国
334,意义
335,花
336,条件
337,环境
338,了解
339,搞
340,力量
341,不仅
342,目前
343,经验
344,产生
345,真正
346,回
347,队
348,有关
349,字
350,会议
351,生命
352,今年
353,努力
354,靠
355,八
356,市
357,类
358,共
359,意见
360,死
361,民族
362,块
363,只要
364,文学
365,成功
366,变化
367,句
368,管
369,你们
370,指
371,地区
372,方
373,和
374,项
375,注意
376,当然
377,达
378,面
379,坐
380,家庭
381,原因
382,进入
383,病
384,介绍
385,下来
386,事情
387,方式
388,首
389,计划
390,人类
391,报告
392,世纪
393,方法
394,人
395,信
396,化
397,步
398,生
399,声
400,图
401,电话
402,能力
403,片
404,作用
405,台
406,如此
407,困难
408,多少
409,打
410,为什么
411,随着
412,谈
413,支
414,村
415,米
416,农村
417,具有
418,现代
419,全部
420,运动
421,原
422,内容
423,帮助
424,文艺
425,放
426,主任
427,别
428,事业
429,汽车
430,李
431,技术
432,中央
433,口
434,跟
435,极
436,记者
437,只是
438,报
439,人员
440,以来
441,边
442,党得
443,您
444,双
445,左右
446,建设
447,利用
448,称
449,怎样
450,行为
451,于是
452,朋友
453,正是
454,受到
455,人物
456,深
457,接受
458,来到
459,百
460,这么
461,山
462,电
463,发表
464,些
465,原来
466,生产
467,往
468,大学
469,认真
470,过程
471,有人
472,风
473,创造
474,抓
475,增加
476,不过
477,以上
478,七
479,它们
480,南
481,无法
482,时期
483,更加
484,传统
485,支持
486,根据
487,市场
488,包括
489,直接
490,份
491,机会
492,政策
493,科学
494,几乎
495,提高
496,批
497,金
498,坚持
499,可是
500,实际
501,完成
502,引起
503,代
504,责任
505,后来
506,劳动
507,任务
508,知识
509,周
510,部队
511,底
512,部分
513,母亲
514,首先
515,期
516,保护
517,理论
518,形式
519,医院
520,不可
521,云
522,行动
523,仍然
524,处理
525,远
526,去年
527,形成
528,跑
529,改变
530,那样
531,香港
532,相信
533,九
534,中
535,老师
536,新闻
537,红
538,仅
539,地位
540,除了
541,企业
542,刚
543,加
544,终于
545,主席
546,严重
547,容易
548,法律
549,建立
550,还
551,其实
552,服务
553,意识
554,自由
555,实现
556,着
557,那
558,光
559,达到
560,然后
561,战争
562,态度
563,改革
564,不是
565,现实
566,种
567,说明
568,使用
569,初
570,加答
571,马
572,共同
573,卖
574,规定
575,一下
576,管理
577,越来越
578,如今
579,社会主义
580,年代
581,变成
582,中心
583,北
584,东
585,父亲
586,国际
587,高兴
588,理解
589,保持
590,了
591,当
592,选择
593,某
594,心理
595,尽管
596,气
597,且
598,斗争
599,反对
600,创作
601,虽
602,造成
603,是否
604,下去
605,总是
606,派
607,获得
608,联系
609,之一
610,也是
611,城
612,所谓
613,安排
614,目的
615,伟大
616,工人
617,制度
618,精神
619,小时
620,似乎
621,篇
622,制
623,没
624,下午
625,算
626,乱
627,谁
628,黑
629,尤其
630,老人
631,部门
632,儿
633,水平
634,按照
635,机关
636,心里
637,民
638,离开
639,身体
640,层
641,笑
642,吗
643,面前
644,基础
645,树
646,别人
647,海
648,常
649,以前
650,军
651,读
652,性
653,价值
654,套
655,干
656,结束
657,妇女
658,教授
659,军事
660,基本
661,儿子
662,西
663,除
664,区
665,改
666,并且
667,那里
668,均
669,画
670,建
671,满
672,统一
673,重新
674,方向
675,活
676,子
677,往往
678,考虑
679,重大
680,收
681,旧
682,之中
683,人才
684,总统
685,感觉
686,清
687,具体
688,式
689,文章
690,现象
691,立即
692,材料
693,不得
694,定
695,证明
696,热
697,年轻
698,接
699,事实
700,白
701,分别
702,矛盾
703,不再
704,积极
705,语言
706,千
707,巨大
708,节
709,安全
710,提供
711,讨论
712,取得
713,始终
714,程度
715,留
716,分析
717,消息
718,检查
719,宣传
720,世界
721,相当
722,好
723,英国
724,合作
725,发出
726,电影
727,另外
728,身上
729,线
730,肯定
731,举行
732,目标
733,反映
734,量
735,笔
736,医生
737,成立
738,交
739,充分
740,林
741,突然
742,工程
743,户
744,一边
745,永远
746,标准
747,原则
748,同样
749,控制
750,队伍
751,结构
752,晚上
753,指出
754,调查
755,立
756,农业
757,家里
758,难
759,清楚
760,采取
761,群
762,集中
763,进一步
764,明显
765,粮食
766,省
767,结合
768,保证
769,团
770,过
771,喜欢
772,动
773,最近
774,穿
775,文
776,收入
777,求
778,实行
779,提
780,及
781,面对
782,愿意
783,厂
784,系统
785,形象
786,竞
787,晚
788,短
789,国内
790,离
791,人生
792,权
793,辆
794,股
795,充满
796,论
797,负责
798,感情
799,利益
800,等等
801,和平
802,声音
803,观念
804,经常
805,敢
806,关心
807,解释
808,道德
809,愿
810,还有
811,情
812,同学
813,进步
814,力
815,她们
816,单
817,经营
818,作家
819,根
820,占
821,教师
822,记
823,回来
824,场
825,出版
826,组
827,退
828,也许
829,重
830,加强
831,办公室
832,健康
833,换
834,道路
835,完
836,迅速
837,属
838,正确
839,产品
840,信息
841,深入
842,胜利
843,拉
844,发挥
845,读者
846,眼睛
847,船
848,简单
849,神
850,飞
851,台湾
852,留下
853,怕
854,只
855,忙
856,女子
857,排
858,偏
859,曾经
860,项目
861,专家
862,重视
863,来自
864,设计
865,黄
866,丰富
867,理想
868,流
869,公
870,双方
871,言
872,刘
873,欢迎
874,恢复
875,院
876,唱
877,不足
878,属于
879,工业
880,音乐
881,主
882,满足
883,掉
884,包
885,战
886,质量
887,自然
888,抓住
889,帮
890,日子
891,期间
892,投资
893,法国
894,过去
895,紧张
896,眼
897,夜
898,平
899,比赛
900,阶段
901,开发
902,范围
903,关
904,分钟
905,不知
906,大会
907,总理
908,江
909,楼
910,全面
911,未来
912,京
913,河
914,人口
915,扩大
916,即使
917,军队
918,难以
919,外国
920,先进
921,银行
922,时间
923,热情
924,常常
925,强烈
926,必要
927,文明
928,手段
929,级
930,亩
931,建议
932,镇
933,女儿
934,特殊
935,装
936,陈
937,复杂
938,战士
939,作为
940,形势
941,无论
942,机构
943,执行
944,讲话
945,以为
946,若
947,乡
948,同意
949,分子
950,望
951,摆
952,实践
953,科技
954,建筑
955,尚
956,语
957,之前
958,广大
959,届
960,那个
961,班
962,长期
963,观
964,专门
965,取
966,大量
967,改造
968,土
969,民主
970,成绩
971,随
972,父母
973,倍
974,史
975,培养
976,哪里
977,杯
978,强调
979,相互
980,毛
981,保
982,超过
983,正式
984,著名
985,诗
986,章
987,批评
988,稳定
989,明白
990,停
991,出口
992,重点
993,朝
994,资金
995,指导
996,英
997,状态
998,祖国
999,不但
1000,借
1001,报道
1002,药
1003,开展
1004,投入
1005,身
1006,高度
1007,直
1008,独立
1009,电视
1010,妈妈
1011,职工
1012,男
1013,增长
1014,各地
1015,费
1016,有时
1017,深刻
1018,以下
1019,刚刚
1020,主张
1021,教
1022,明确
1023,习惯
1024,调整
1025,交通
1026,因素
1027,养
1028,行政
1029,挂
1030,追求
1031,物
1032,关键
1033,措施
1034,坚决
1035,承认
1036,实
1037,集
1038,效果
1039,德国
1040,草
1041,宣布
1042,上午
1043,知
1044,共产党
1045,失去
1046,资源
1047,减少
1048,断
1049,领域
1050,封
1051,先后
1052,今后
1053,促进
1054,经历
1055,有效
1056,特点
1057,位置
1058,现代化
1059,就要
1060,价格
1061,部长
1062,过来
1063,观众
1064,值得
1065,轮
1066,正常
1067,脚
1068,地方
1069,破坏
1070,看来
1071,适应
1072,战略
1073,天气
1074,急
1075,度
1076,贡献
1077,突出
1078,欧洲
1079,掌握
1080,错误
1081,何
1082,病人
1083,对象
1084,确定
1085,实施
1086,此外
1087,委员会
1088,满意
1089,师
1090,英雄
1091,明
1092,驻
1093,冲
1094,在于
1095,合理
1096,普通
1097,竞争
1098,当地
1099,宗教
1100,联合
1101,业务
1102,物质
1103,表明
1104,训练
1105,一致
1106,组成
1107,专业
1108,官
1109,案
1110,网络
1111,治
1112,权利
1113,前进
1114,成果
1115,版
1116,网
1117,机
1118,显得
1119,脸
1120,自身
1121,指挥
1122,演出
1123,交流
1124,天津
1125,推
1126,设备
1127,哲学
1128,牛
1129,学者
1130,卫生
1131,缺乏
1132,表
1133,真实
1134,体现
1135,酒
1136,飞机
1137,文字
1138,歌
1139,严格
1140,火
1141,依然
1142,称为
1143,工
1144,资料
1145,型
1146,菜
1147,哪
1148,速度
1149,工资
1150,中国梦
1151,至少
1152,儿童
1153,纷纷
1154,产业
1155,明天
1156,开放
1157,集体
1158,体系
1159,德
1160,鱼
1161,召开
1162,设
1163,轻
1164,监督
1165,体
1166,戏
1167,拍
1168,绿
1169,出发
1170,房
1171,实际上
1172,小说
1173,破
1174,兵
1175,现
1176,啊
1177,优秀
1178,必然
1179,业
1180,主动
1181,附近
1182,动物
1183,解放
1184,兼
1185,有所
1186,看见
1187,通知
1188,广告
1189,体制
1190,当前
1191,从事
1192,至今
1193,加入
1194,当年
1195,财政
1196,颗
1197,为
1198,跳
1199,弄
1200,广泛
1201,及时
1202,良好
1203,各国
1204,专
1205,普遍
1206,损失
1207,团结
1208,从
1209,姑娘
1210,需
1211,死亡
1212,毕业
1213,倒
1214,室
1215,比如
1216,名字
1217,职业
1218,角
1219,杀
1220,从而
1221,应
1222,刺
1223,般
1224,油
1225,制定
1226,华
1227,校
1228,互相
1229,上来
1230,加上
1231,参与
1232,苦
1233,男子
1234,面积
1235,直到
1236,出去
1237,符合
1238,本来
1239,架
1240,身边
1241,幸福
1242,确实
1243,状况
1244,空间
1245,都
1246,逐渐
1247,推动
1248,犯罪
1249,美元
1250,打击
1251,危险
1252,说话
1253,表演
1254,报纸
1255,父开
1256,显示
1257,州
1258,采用
1259,最终
1260,运用
1261,久
1262,委员
1263,亦
1264,商品
1265,规律
1266,观察
1267,鼓励
1268,局
1269,优势
1270,体育
1271,大力
1272,自我
1273,不管
1274,马上
1275,走向
1276,西方
1277,合同
1278,空气
1279,为
1280,各个
1281,周围
1282,商业
1283,负
1284,古
1285,打开
1286,太阳
1287,选
1288,特色
1289,内部
1290,接着
1291,夫人
1292,石
1293,给予
1294,亲
1295,居民
1296,亮
1297,不久
1298,故事
1299,项
1300,差
1301,维护
1302,似
1303,本身
1304,规模
1305,权力
1306,领
1307,文件
1308,吨
1309,创
1310,阳光
1311,分配
1312,雨
1313,加快
1314,整个
1315,田
1316,社
1317,综合
1318,南京
1319,硬
1320,印
1321,国务院
1322,铁路
1323,拥有
1324,标题
1325,到底
1326,平均
1327,实在
1328,附
1329,公路
1330,泥
1331,居
1332,致
1333,供
1334,中间
1335,运
1336,必
1337,制造
1338,方便
1339,例
1340,应用
1341,曾
1342,热烈
1343,落实
1344,保障
1345,彻底
1346,素质
